id,business_type,address,dba_name,city,state,valid_license_for
"7344768","Flat Rate 16","4734 HEINTZ ST","3DDILLARD ESTATES LLC","KANSAS CITY","MO","20251231"
"28467840","Misc Rate 50","1485 SUNRISE DR","CHI OVERHEAD DOORS","ARTHUR","IL","20251231"
"44274304","Flat Rate 79","32731 EGYPT LN","THE TORRES AGENCY LLC","MAGNOLIA","TX","20251231"
"77243008","Other Computer Related Services","1105 W 41ST ST","BUZZ HOLDINGS L.P.","AUSTIN","TX","20251231"
"88484992","Consumer Lending","PO BOX 32208","COMPANION MORTGAGE CORPORATION","KANSAS CITY","MO","20251231"
"103378048","Flat Rate 120A","PO BOX 32208","HRB TAX GROUP","KANSAS CITY","MO","20251231"
"99721856","Petroleum Refineries","PO BOX 68123","CALUMET GP LLC","INDIANAPOLIS","IN","20251231"
"148892800","All Other General Merchandise Retailers","PO BOX 34442","STARBUCKS CORPORATION","SEATTLE","WA","20251231"
"141673088","Flat Rate 18","7922 S COOK RD","GENRICH JOANNE","GRAIN VALLEY","MO","20251231"
"214065792","Temporary Help Services","PO BOX 180","INSPYR SOLUTIONS LLC","PORTSMOUTH","NH","20251231"
"246604416","Flat Rate 18","666 3RD AVE","EGENCIA LLC","NEW YORK","NY","20241231"
"275747456","Computer Systems Design Services","8166 CASEY CT","KWIGOVA HAROLD","ELKRIDGE","MD","20251231"
"263918208","Other Scientific and Technical Consulting Services","PO BOX 625","NEURAFLASH LLC","RIDGEWOOD","NJ","20241231"
"297725056","All Other Professional Scientific and Technical Services","PO BOX 273","PAVEMENT MANAGEMENT","LEES SUMMIT","MO","20251231"
"301535872","Corrugated and Solid Fiber Box Manufacturing","PO BOX 367","MENASHA CORPORATION","NEENAH","WI","20251231"
"318442624","Travel Agencies","10150 N AMBASSADOR  DR","BCD TRAVEL USA LLC","JACKSONVILLE","FL","20251231"
"348852864","Boat Building","5408 N TRACY AVE","HARRIS GREGORY J","KANSAS CITY","MO","20251231"
"342483584","Direct Mail Advertising","2900 E APACHE ST","MOORE A SERIES LLC","TULSA","OK","20251231"
"364528256","Advertising Agencies","150 E 42ND ST","AMPLIFI INC","NEW YORK","NY","20241231"
"351408768","Temporary Help Services","7301 PARKWAY DR","MLA LEGAL LLC","HANOVER","MD","20251231"
"378702976","Janitorial Services","84  PO BOX","K AND S COMMERCIAL CLEANING LLC","SMITHVILLE","MO","20251231"
"440204416","Payroll Services","1001 E 101ST TER","THE PAYROLL COMPANY","KANSAS CITY","MO","20251231"
"416834176","Offices of Lawyers","1875 S BASCOM AVE","FOUNTAINHEAD LAW GROUP PC","CAMPBELL","CA","20241231"
"467639424","Flat Rate 72","6310 LAMAR AVE","AGENDA: USA","MISSION","KS","20251231"
"516177024","Limousine Service","8767 N CHATHAM AVE","KCRIDE LLC","KANSAS CITY","MO","20261231"
"521337984","Parking Lots and Garages","1 FINANCIAL PLZ","LAZ PARKING MIDWEST LLC","HARTFORD","CT","20241231"
"526357120","Misc Rate 128","9616 PEARL AVE","GAETH JEFFREY M","KANSAS CITY","MO","20261231"
"499940480","Jewelry Retailers","4171 FRANCIS ST","OPAL AND GOLD LLC","KANSAS CITY","KS","20241231"
"506630784","Software Publishers","1 GLENWOOD AVE","CYCLE LABS INC.","RALEIGH","NC","20251231"
"505891072","Other Heavy and Civil Engineering Construction","PO BOX 1089","KC STREETCAR CONSTRUCTORS","SAINT JOSEPH","MO","20251231"
"517672064","Commercial and Institutional Building Construction","PO BOX 683","ACCU PLUMBING INC","BLUE SPRINGS","MO","20241231"
"531180672","Commercial and Institutional Building Construction","7636 TROOST AVE","JADE ALARM CO","KANSAS CITY","MO","20261231"
"542491264","Residential Remodelers","10906 SUMMERSKILL RD","INTEGRITY BUILDING SOLUTIONS LLC","PECULIAR","MO","20241231"
"553602176","All Other Business Support Services","PO BOX 22649","FOURTH GENERATION LLC","KANSAS CITY","MO","20251231"
"576983680","Beauty Salons","4800 MAIN ST","SUTTON AMANDA","KANSAS CITY","MO","20241231"
"584454784","Musical Groups and Artists","PO BOX 340020","ERICHO INC","NASHVILLE","TN","20251231"
"597175424","Flat Rate 18","611 CORNELL AVE","MOLENHOUR JASON","SAINT LOUIS","MO","20251231"
"602823808","Other Commercial and Industrial Machinery and Equipment Rental and Leasing","7425 NW DAMON DR","M V & A INC","PARKVILLE","MO","20261231"
"608775296","Flat Rate 127A","16105 W 113TH ST","H W LOCHNER INC","LENEXA","KS","20251231"
"684450432","Software Publishers","3370 N HAYDEN RD","STODGE INC.","SCOTTSDALE","AZ","20241231"
"715963520","Engineering Services","555 S FLOWER ST","CH2M HILL INC","LOS ANGELES","CA","20251231"
"769753728","Other Activities Related to Real Estate","1301 2ND AVE","ZILLOW INC","SEATTLE","WA","20251231"
"751758464","Janitorial Services","PO BOX 909","HILLYARD INC","SAINT JOSEPH","MO","20251231"
"765862528","Media Buying Agencies","175 GREENWICH ST","CHOREOGRAPH LLC","NEW YORK","NY","20251231"
"785043712","Architectural Services","102 S CHERRY  ST","LANDWORKS STUDIO LLC","OLATHE","KS","20251231"
"793504896","Sports Teams and Clubs","1 TWINS WAY","MINNESOTA TWINS LLC","MINNEAPOLIS","MN","20251231"
"850682496","Offices of Lawyers","28936  PO BOX","BORDERS LAW FIRM LLC","KANSAS CITY","MO","20251231"
"779922560","Flat Rate 72","PO BOX 204","JUDE ENTERPRISES LLC","WESTON","MO","20251231"
"785043712","Flat Rate 121A","102 S CHERRY  ST","LANDWORKS STUDIO LLC","OLATHE","KS","20251231"
"813984896","Flat Rate 127A","7301 W 133RD ST","OLSSON INC","OVERLAND PARK","KS","20261231"
"819044992","Reupholstery and Furniture Repair","31 SHELBY RD","SAW ENTERPRISES","EAST NORTHPORT","NY","20241231"
"863368320","Flat Rate 127A","3 WINNERS CIR","CHA CONSULTING INC","ALBANY","NY","20251231"
"843121280","Commercial and Institutional Building Construction","1705 SE M AA HWY","R2 PLUMBING LLC","BLUE SPRING","MO","20251231"
"878641792","Computer Training","360 MOUNT KEMBLE AVE","ALPHA CONSULTING CORP.","MORRISTOWN","NJ","20251231"
"940838016","Commercial and Institutional Building Construction","PO BOX 335","HOFFMANN CUSTOM HOMES LLC","LIBERTY","MO","20251231"
"917443200","Roofing Contractors","P.O. BOX 457","JK ELECTRICAL","BLUE SPRINGS","MO","20251231"
"889000576","Flat Rate 138","PO BOX 41504","CAGE THE ELEPHANT","NASHVILLE","TN","20241231"
"925459072","Residential Remodelers","PO BOX 32","LAST DETAIL CONSTRUCTION LLC","GRANDVIEW","MO","20251231"
"934019712","Beauty Salons","9015 N MANNING AVE","FEE KELLI","KANSAS CITY","MO","20251231"
"963083392","Landscaping Services","PO BOX 250","Z'S TREE CARE LLC","TRIMBLE","MO","20251231"
"1009836672","Flat Rate 121A","4622 PENNSYLVANIA AVE","HOEFER WELKER LLC","KANSAS CITY","MO","20261231"
"1070197888","Site Preparation Contractors","PO BOX 860227","MAX RIEKE & BROS INC","SHAWNEE","KS","20261231"
